iter	Passed	Remaining
421	2261	3098
422	2263	3087
423	2264	3076
424	2266	3065
425	2272	3062
426	2274	3051
427	2275	3041
428	2277	3031
429	2278	3020
430	2280	3010
431	2284	3003
432	2286	2993
433	2287	2983
434	2288	2972
435	2290	2962
436	2291	2952
437	2293	2942
438	2294	2932
439	2295	2921
440	2296	2911
441	2298	2902
442	2300	2891
443	2301	2881
444	2302	2871
445	2303	2861
446	2305	2851
447	2306	2841
448	2307	2831
449	2308	2822
450	2312	2815
451	2314	2805
452	2315	2795
453	2316	2786
454	2318	2776
455	2319	2766
456	2320	2757
457	2321	2747
458	2323	2738
459	2324	2728
460	2327	2721
461	2329	2712
462	2330	2703
463	2332	2694
464	2333	2685
465	2335	2676
466	2336	2667
467	2338	2658
468	2339	2649
469	2341	2640
470	2342	2631
471	2343	2622
472	2345	2612
473	2346	2603
474	2347	2594
475	2348	2585
476	2350	2576
477	2351	2568
478	2354	2561
479	2356	2553
480	2358	2544
481	2359	2535
482	2360	2527
483	2362	2518
484	2363	2509
485	2365	2502
486	2367	2493
487	2370	2487
488	2372	2478
489	2373	2470
490	2374	2461
491	2376	2453
492	2377	2445
493	2378	2436
494	2380	2428
495	2381	2420
496	2385	2414
497	2386	2406
498	2388	2397
499	2389	2389
500	2390	2381
501	2392	2373
502	2393	2365
503	2395	2357
504	2396	2348
505	2397	2340
506	2401	2335
507	2403	2327
508	2404	2319
509	2405	2311
510	2406	2303
511	2408	2295
512	2409	2287
513	2410	2279
514	2412	2271
515	2415	2265
516	2416	2257
517	2418	2250
518	2419	2242
519	2421	2235
520	2422	2227
521	2424	2220
522	2426	2213
523	2427	2205
524	2429	2198
525	2430	2190
526	2432	2183
527	2433	2175
528	2434	2167
529	2436	2160
530	2437	2152
531	2438	2145
532	2439	2137
533	2443	2132
534	2445	2125
535	2446	2118
536	2448	2110
537	2449	2103
538	2450	2095
539	2451	2088
540	2452	2081
541	2454	2074
542	2457	2068
543	2458	2061
544	2460	2053
545	2461	2046
546	2463	2040
547	2464	2032
548	2465	2025
549	2467	2018
550	2468	2011
551	2469	2004
552	2473	1999
553	2475	1992
554	2476	1985
555	2477	1978
556	2478	1971
557	2480	1964
558	2481	1957
559	2482	1950
560	2483	1943
561	2485	1936
562	2489	1931
563	2490	1925
564	2491	1918
565	2493	1911
566	2494	1904
567	2495	1897
568	2496	1891
569	2498	1884
570	2499	1877
571	2502	1872
572	2503	1865
573	2505	1859
574	2506	1852
575	2508	1846
576	2509	1839
577	2511	1833
578	2513	1827
579	2514	1820
580	2518	1816
581	2519	1809
582	2521	1803
583	2522	1796
584	2523	1790
585	2524	1783
586	2526	1777
587	2527	1771
588	2528	1764
589	2531	1759
590	2533	1753
591	2534	1746
592	2536	1740
593	2537	1734
594	2538	1727
595	2539	1721
596	2541	1715
597	2542	1708
598	2543	1702
599	2547	1698
600	2548	1691
601	2549	1685
602	2550	1679
603	2552	1673
604	2553	1667
605	2554	1661
606	2555	1654
607	2557	1648
608	2558	1642
609	2561	1637
610	2563	1631
611	2564	1625
612	2565	1619
613	2567	1613
614	2568	1607
615	2570	1602
616	2571	1596
617	2572	1590
618	2573	1584
619	2577	1579
620	2578	1573
621	2580	1568
622	2581	1562
623	2582	1556
624	2584	1550
625	2585	1544
626	2586	1538
627	2588	1533
628	2589	1527
629	2590	1521
630	2592	1515
631	2593	1510
632	2595	1504
633	2596	1499
634	2598	1493
635	2599	1488
636	2601	1482
637	2604	1477
638	2606	1472
639	2607	1466
640	2608	1460
641	2609	1455
642	2610	1449
643	2612	1444
644	2614	1438
645	2615	1433
646	2616	1427
647	2620	1423
648	2621	1418
649	2623	1412
650	2624	1407
651	2625	1401
652	2627	1396
653	2628	1390
654	2629	1385
655	2630	1379
656	2632	1374
657	2634	1369
658	2635	1363
659	2636	1358
660	2637	1352
661	2638	1347
662	2640	1342
663	2641	1336
664	2643	1331
665	2644	1326
666	2647	1321
667	2649	1316
668	2650	1311
669	2651	1306
670	2653	1301
671	2654	1295
672	2656	1290
673	2657	1285
674	2658	1280
675	2659	1274
676	2663	1270
677	2665	1265
678	2666	1260
679	2667	1255
680	2669	1250
681	2670	1245
682	2671	1239
683	2672	1234
684	2674	1229
685	2677	1225
686	2679	1220
687	2681	1215
688	2683	1211
689	2685	1206
690	2686	1201
691	2688	1196
692	2689	1191
693	2694	1187
694	2695	1182
695	2696	1177
696	2698	1172
697	2699	1167
698	2700	1163
699	2701	1157
700	2703	1152
701	2704	1148
702	2708	1144
703	2709	1139
704	2710	1134
705	2712	1129
706	2713	1124
707	2714	1119
708	2715	1114
709	2717	1109
710	2718	1105
711	2719	1100
712	2723	1096
713	2724	1091
714	2725	1086
715	2727	1081
716	2728	1077
717	2729	1072
718	2731	1067
719	2732	1062
720	2733	1057
721	2734	1053
722	2738	1049
723	2739	1044
724	2741	1039
725	2742	1035
726	2744	1030
727	2745	1025
728	2746	1021
729	2747	1016
730	2749	1011
731	2752	1007
732	2753	1003
733	2755	998
734	2756	993
735	2757	989
736	2759	984
737	2760	979
738	2761	975
739	2762	970
740	2764	966
741	2768	962
742	2769	958
743	2771	953
744	2772	949
745	2774	944
746	2776	940
747	2777	935
748	2779	931
749	2783	927
750	2784	923
751	2785	918
752	2787	914
753	2788	909
754	2789	905
755	2791	900
756	2792	896
757	2793	891
758	2797	888
759	2798	883
760	2800	879
761	2801	874
762	2802	870
763	2804	866
764	2805	861
765	2806	857
766	2807	852
767	2809	848
768	2812	844
769	2813	840
770	2815	836
771	2816	831
772	2817	827
773	2819	823
774	2820	818
775	2821	814
776	2822	810
777	2824	805
778	2827	802
779	2829	797
780	2830	793
781	2831	789
782	2833	785
783	2834	780
784	2835	776
785	2836	772
786	2838	768
787	2839	763
788	2843	760
789	2844	756
790	2846	751
791	2847	747
792	2848	743
793	2849	739
794	2851	735
795	2852	731
796	2853	726
797	2857	723
798	2858	719
799	2860	715
800	2861	710
801	2863	706
802	2865	702
803	2866	698
804	2867	694
805	2868	690
806	2870	686
807	2871	682
808	2872	678
809	2874	674
810	2875	670
811	2876	666
812	2878	661
813	2879	657
814	2880	653
815	2884	650
816	2885	646
817	2887	642
818	2888	638
819	2889	634
820	2891	630
821	2892	626
822	2893	622
823	2894	618
824	2896	614
825	2900	610
826	2901	606
827	2903	603
828	2904	599
829	2905	595
830	2906	591
831	2908	587
832	2909	583
833	2910	579
834	2914	575
835	2916	572
836	2917	568
837	2918	564
838	2919	560
839	2921	556
840	2922	552
841	2923	548
842	2925	544
843	2926	540
844	2930	537
845	2931	533
846	2932	529
847	2933	525
848	2935	522
849	2936	518
850	2937	514
851	2939	510
852	2940	506
853	2944	503
854	2945	499
855	2947	495
856	2949	492
857	2950	488
858	2952	484
859	2953	480
860	2955	477
861	2958	473
862	2960	469
863	2961	466
864	2962	462
865	2964	458
866	2965	454
867	2966	451
868	2968	447
869	2969	443
870	2970	439
871	2974	436
872	2976	432
873	2977	429
874	2978	425
875	2980	421
876	2981	418
877	2982	414
878	2983	410
879	2985	407
880	2989	403
881	2990	400
882	2991	396
883	2992	392
884	2994	389
885	2995	385
886	2996	381
887	2998	378
888	2999	374
889	3000	370
890	3004	367
891	3005	363
892	3007	360
893	3008	356
894	3009	353
895	3011	349
896	3012	345
897	3013	342
898	3014	338
899	3018	335
900	3019	331
901	3021	328
902	3022	324
903	3023	321
904	3024	317
905	3026	313
906	3027	310
907	3028	306
908	3030	303
909	3034	300
910	3035	296
911	3037	293
912	3039	289
913	3040	286
914	3042	282
915	3043	279
916	3044	275
917	3049	272
918	3050	268
919	3051	265
920	3053	261
921	3054	258
922	3055	254
923	3056	251
924	3058	247
925	3059	244
926	3063	241
927	3064	237
928	3066	234
929	3067	230
930	3068	227
931	3069	223
932	3071	220
933	3072	217
934	3073	213
935	3077	210
936	3078	206
937	3079	203
938	3081	200
939	3082	196
940	3083	193
941	3085	189
942	3086	186
943	3087	183
944	3088	179
945	3092	176
946	3093	173
947	3094	169
948	3096	166
949	3097	163
950	3098	159
951	3099	156
952	3101	152
953	3102	149
954	3103	146
955	3107	143
956	3108	139
957	3110	136
958	3111	133
959	3112	129
960	3113	126
961	3115	123
962	3116	119
963	3117	116
964	3119	113
965	3122	109
966	3124	106
967	3125	103
968	3127	100
969	3128	96
970	3130	93
971	3131	90
972	3133	86
973	3134	83
974	3136	80
975	3137	77
976	3138	73
977	3139	70
978	3141	67
979	3142	64
980	3143	60
981	3145	57
982	3146	54
983	3151	51
984	3153	48
985	3154	44
986	3155	41
987	3157	38
988	3158	35
989	3159	31
990	3161	28
991	3164	25
992	3166	22
993	3167	19
994	3168	15
995	3170	12
996	3171	9
997	3173	6
998	3174	3
999	3176	0
